run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,12622034,2024-04-30,html,,2024-04-30,12622034,COCO'S GARDENING LTD,False,2.0,2023-04-30,2023-04-30,,,,8841.0,4240.0,,4601.0,4601.0,4601.0,,,4601.0,,,,,,,,,,,,,,,,
Prod223_3873,12622762,2024-05-31,html,,2024-05-31,12622762,EAVELITH LIMITED,False,0.0,2024-05-31,2024-05-31,2.0,,,3617.0,,,2202.0,2204.0,1383.0,,,1383.0,,,,,,,,,,,,,,,,
Prod223_3873,12622762,2024-05-31,html,,2024-05-31,12622762,EAVELITH LIMITED,False,0.0,2023-05-31,2023-05-31,2.0,,,3617.0,,,2202.0,2204.0,1383.0,,,1383.0,,,,,,,,,,,,,,,,
Prod223_3873,12624392,2024-05-31,html,,2024-05-31,12624392,HUNTER PLASTERING LTD,False,1.0,2024-05-31,2024-05-31,16947.0,26850.0,33880.0,60730.0,,,20209.0,37156.0,33936.0,,,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12624392,2024-05-31,html,,2024-05-31,12624392,HUNTER PLASTERING LTD,False,1.0,2023-05-31,2023-05-31,5932.0,21615.0,26840.0,48455.0,,,38588.0,44520.0,44520.0,,,1.0,,,,,,,,,,,,,,,,
Prod223_3873,12627899,2024-05-31,html,,2024-05-31,12627899,Nurture International Ltd,False,0.0,2024-05-31,2024-05-31,10460.0,,,62843.0,,,38269.0,48729.0,,,,48729.0,,,,,,,,,,,,,,,,
Prod223_3873,12627899,2024-05-31,html,,2024-05-31,12627899,Nurture International Ltd,False,0.0,2023-05-31,2023-05-31,5222.0,,,101340.0,,,71445.0,76667.0,,,,76667.0,,,,,,,,,,,,,,,,
Prod223_3873,12629735,2024-05-31,html,,2024-05-31,12629735,INNOVATION DELIVERED LTD,False,2.0,2024-05-31,2024-05-31,,,,522.0,,,522.0,522.0,522.0,,,522.0,,,,,,,,,,,,,,,,
Prod223_3873,12629735,2024-05-31,html,,2024-05-31,12629735,INNOVATION DELIVERED LTD,False,2.0,2023-05-31,2023-05-31,,,,254.0,,,254.0,254.0,254.0,,,254.0,,,,,,,,,,,,,,,,
Prod223_3873,12632800,2024-05-31,html,,2024-05-31,12632800,ABC Nursery Milk Limited,False,,2024-05-31,2024-05-31,,120000.0,,,,,86899.0,86899.0,,,,100.0,,,,,,,,,,,,,,,,
Prod223_3873,12633785,2024-05-31,html,,2024-05-31,12633785,Utiligas Ltd,False,,2024-05-31,2024-05-31,37.0,905.0,147.0,1052.0,,,163.0,200.0,193.0,2.0,191.0,2.0,,,,,,,,,,,,,,,,
Prod223_3873,12634035,2024-05-31,html,,2024-05-31,12634035,Kc Cp Ltd,False,3.0,2024-05-31,2024-05-31,4377.0,70197.0,13020.0,320276.0,,,143986.0,148363.0,-157783.0,,,100.0,,,,,,,,,,,,,,,,
