run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,revenue_per_employee
Prod223_3873,10339116,2024-08-31,html,,2024-08-31,10339116,Design & Development Engineering Limited,False,2.0,2023-09-01,2024-08-31,,,,,,,,,,,,,407488.0,,239053.0,168435.0,130391.0,248355.0,,,,,38073.0,-15439.0,53512.0,,,203744.0
Prod223_3873,10339116,2024-08-31,html,,2024-08-31,10339116,Design & Development Engineering Limited,False,2.0,2022-09-01,2023-08-31,,,,,,,,,,,,,490459.0,,328543.0,161916.0,82878.0,321050.0,,,,,79044.0,5203.0,73841.0,,,245229.5
Prod223_3873,10722391,2024-04-30,html,,2024-04-30,10722391,RECRUITMENT WOLF LIMITED,False,2.0,2023-05-01,2024-04-30,,,,,,,,,,,,,450252.0,,,,,303701.0,86254.0,,42755.0,,,,17542.0,,,225126.0
Prod223_3873,11134831,2024-01-31,html,,2024-01-31,11134831,G&M SOLUTIONS LTD,False,1.0,2023-02-01,2024-01-31,,,,,,,,,,,,,118868.0,,,,,,28908.0,,,,30326.0,5970.0,24356.0,,,118868.0
Prod223_3873,11205231,2024-03-31,html,,2024-03-31,11205231,SUKI SHOCKER INTERIOR DESIGN LTD,False,1.0,2023-04-01,2024-03-31,,,,,,,,,,,,,115330.0,,45599.0,69731.0,29891.0,,,,,39840.0,39840.0,7570.0,32270.0,,,115330.0
Prod223_3873,11205231,2024-03-31,html,,2024-03-31,11205231,SUKI SHOCKER INTERIOR DESIGN LTD,False,1.0,2022-04-01,2023-03-31,,,,,,,,,,,,,153308.0,,46057.0,107251.0,21505.0,,,,,85746.0,85707.0,16284.0,69423.0,,,153308.0
Prod223_3873,12269425,2024-11-30,html,,2024-11-30,12269425,AUTOMOTIVE PASSION LIMITED,False,1.0,2023-12-01,2024-11-30,,,,,,,,,,,,,117445.0,,,,,119080.0,,,,,,,-1635.0,,,117445.0
Prod223_3873,12269425,2024-11-30,html,,2024-11-30,12269425,AUTOMOTIVE PASSION LIMITED,False,1.0,2022-12-01,2023-11-30,,,,,,,,,,,,,133220.0,,,,,131470.0,,,,,,,1750.0,,,133220.0
Prod223_3873,13068739,2024-12-31,html,,2024-12-31,13068739,POLAR SECURITY LTD,False,2.0,2024-01-01,2024-12-31,,,,,,,,,,,,,249420.0,,,,,96172.0,98600.0,,6660.0,,,9117.0,38871.0,,,124710.0
Prod223_3873,13068739,2024-12-31,html,,2024-12-31,13068739,POLAR SECURITY LTD,False,2.0,2023-01-01,2023-12-31,,,,,,,,,,,,,233100.0,,,,,89880.0,92150.0,,6196.0,,,8298.0,36576.0,,,116550.0
Prod223_3873,13571990,2024-08-31,html,,2024-08-31,13571990,FAMILY DESIGN AND BUILD LTD,False,1.0,2023-09-01,2024-08-31,,,,,,,,,,,,,219683.0,0.0,,,,191347.0,114789.0,0.0,0.0,,,0.0,-86453.0,,,219683.0
Prod223_3873,13571990,2024-08-31,html,,2024-08-31,13571990,FAMILY DESIGN AND BUILD LTD,False,1.0,2022-09-01,2023-08-31,,,,,,,,,,,,,215076.0,0.0,,,,170928.0,74642.0,0.0,0.0,,,0.0,-30494.0,,,215076.0
Prod223_3873,14807853,2024-04-30,html,,2024-04-30,14807853,TEVERE CAPITAL LIMITED,False,1.0,2023-04-17,2024-04-30,,,,,,,,,,,,,6092763.0,,209774.0,5882989.0,39645.0,,,,,5843344.0,5843344.0,1460836.0,,,,6092763.0
