run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url
Prod223_3873,02597736,2024-05-31,html,,2024-05-31,02597736,INSIDE OUT DEVELOPMENTS LIMITED,False,74.0,2023-06-01,2024-05-31,,,,,,,,,,,,,,,15461491.0,,3130780.0,,4391248.0,,,,1627920.0,445789.0,1182131.0,,
Prod223_3873,02597736,2024-05-31,html,,2024-05-31,02597736,INSIDE OUT DEVELOPMENTS LIMITED,False,74.0,2022-06-01,2023-05-31,,,,,,,,,,,,,,,15894144.0,,2610311.0,,3776059.0,,,,1547120.0,316455.0,1230665.0,,
Prod223_3873,02618642,2024-06-30,html,,2024-06-30,02618642,B & P FABRICATIONS (LEICESTER) LIMITED,False,135.0,2023-07-01,2024-06-30,,,,,,,,,,,,,,,8381149.0,,2692833.0,,4020979.0,,,,583584.0,115593.0,467991.0,,
Prod223_3873,02618642,2024-06-30,html,,2024-06-30,02618642,B & P FABRICATIONS (LEICESTER) LIMITED,False,135.0,2022-07-01,2023-06-30,,,,,,,,,,,,,,,11193125.0,,2426963.0,,4450812.0,,,,1292361.0,336630.0,955731.0,,
Prod223_3873,02700420,2024-04-30,html,,2024-04-30,02700420,QUEENS STAITH LEISURE LIMITED,False,146.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,4369767.0,,2428975.0,,2222060.0,,,,,690657.0,1297442.0,,
Prod223_3873,02700420,2024-04-30,html,,2024-04-30,02700420,QUEENS STAITH LEISURE LIMITED,False,146.0,2022-05-01,2023-04-30,,,,,,,,,,,,,,,3288248.0,,2139138.0,,1994545.0,,,,,395237.0,1265438.0,,
Prod223_3873,02823510,2024-06-30,html,,2024-06-30,02823510,GLADSTONE COURT (LONDON) MANAGEMENT LIMITED,False,0.0,2023-07-01,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,3170.0,,
Prod223_3873,02943975,2024-09-30,html,,2024-09-30,02943975,Earl Estates Limited,False,4.0,2023-10-01,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,657708.0,,
Prod223_3873,02943975,2024-09-30,html,,2024-09-30,02943975,Earl Estates Limited,False,4.0,2022-10-01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,390252.0,,
Prod223_3873,03186553,2024-04-30,html,,2024-04-30,03186553,Easycomp Limited,False,2.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,70613.0,,
Prod223_3873,03292594,2024-07-31,html,,2024-07-31,03292594,Campion Holdings Limited,False,54.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,1264941.0,,
Prod223_3873,03292594,2024-07-31,html,,2024-07-31,03292594,Campion Holdings Limited,False,54.0,2022-08-01,2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,1422184.0,,
Prod223_3873,03342431,2024-04-30,html,,2024-04-30,03342431,Specialist Training Consultants Ltd,False,3.0,2022-05-01,2023-04-30,,,,,,,,,,,,,330958.0,1159.0,,,,126379.0,69681.0,,,,83251.0,9902.0,73349.0,,
Prod223_3873,03554289,2024-04-30,html,,2024-04-30,03554289,SCOMAC SERVICES LTD,False,54.0,2023-05-01,2024-04-30,,,,,,,,,,,,,18392746.0,,12596082.0,5796664.0,3192907.0,,3375294.0,,,2604348.0,2658385.0,665411.0,1992974.0,,
Prod223_3873,03554289,2024-04-30,html,,2024-04-30,03554289,SCOMAC SERVICES LTD,False,54.0,2022-05-01,2023-04-30,,,,,,,,,,,,,36158363.0,,25051554.0,11106809.0,2835152.0,,2830465.0,,,8262606.0,8295061.0,1595202.0,6699859.0,,
Prod223_3873,03665264,2023-12-31,html,,2023-12-31,03665264,JENSEN UK LIMITED,False,20.0,2023-01-01,2023-12-31,,,,,,,,,,,,,,,8735167.0,,1806918.0,,1199300.0,,,,70174.0,10435.0,59739.0,,
Prod223_3873,03665264,2023-12-31,html,,2023-12-31,03665264,JENSEN UK LIMITED,False,20.0,2022-01-01,2022-12-31,,,,,,,,,,,,,,,13100150.0,,1690293.0,,1197921.0,,,,244427.0,46680.0,197747.0,,
Prod223_3873,03838520,2024-09-30,html,,2024-09-30,03838520,SPOKEMIST LIMITED,False,2.0,2023-10-01,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,43006.0,,
Prod223_3873,03838520,2024-09-30,html,,2024-09-30,03838520,SPOKEMIST LIMITED,False,2.0,2022-10-01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,89392.0,,
Prod223_3873,03848633,2024-04-30,html,,2024-04-30,03848633,J P MIDDLETON (HOLDINGS) LIMITED,False,1.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,65493.0,,
Prod223_3873,03964089,2024-04-30,html,,2024-04-30,03964089,EXTERNAL FUNDING MATTERS LIMITED,False,1.0,2023-05-01,2024-04-30,,,,,,,,,,,,,115018.0,,,,,8194.0,27231.0,36.0,7959.0,,,15165.0,56433.0,,
Prod223_3873,03964089,2024-04-30,html,,2024-04-30,03964089,EXTERNAL FUNDING MATTERS LIMITED,False,1.0,2022-05-01,2023-04-30,,,,,,,,,,,,,75405.0,202.0,,,,13171.0,36384.0,254.0,9181.0,,,3198.0,13419.0,,
Prod223_3873,04204136,2024-05-31,html,,2024-05-31,04204136,LITTLEWOOD FENCING LIMITED,False,190.0,2023-06-01,2024-05-31,,,,,,,,,,,,,47686126.0,,36990528.0,10695598.0,8922989.0,,11558438.0,,,,1704747.0,396420.0,1308327.0,,
Prod223_3873,04204136,2024-05-31,html,,2024-05-31,04204136,LITTLEWOOD FENCING LIMITED,False,190.0,2022-06-01,2023-05-31,,,,,,,,,,,,,30518012.0,,22835665.0,7682347.0,6451864.0,,14838240.0,,,,1216022.0,203498.0,1012524.0,,
Prod223_3873,04428320,2024-04-30,html,,2024-04-30,04428320,CONCEPT INTERIORS MANAGEMENT LIMITED,False,12.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,138363.0,,
Prod223_3873,04562512,2024-08-31,html,,2024-08-31,04562512,Reatech Dental Services Limited,False,2.0,2023-09-01,2024-08-31,,,,,,,,,,,,,,,,,,,,,,,,,25471.0,,
Prod223_3873,04598875,2024-09-30,html,,2024-09-30,04598875,Earl (Northampton) Limited,False,0.0,2023-10-01,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,124841.0,,
Prod223_3873,04598875,2024-09-30,html,,2024-09-30,04598875,Earl (Northampton) Limited,False,0.0,2022-10-01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,127624.0,,
Prod223_3873,04620494,2024-03-31,html,,2024-03-31,04620494,EXCEK OFFICE SOLUTIONS LIMITED,False,2.0,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,33022.0,,
Prod223_3873,04620494,2024-03-31,html,,2024-03-31,04620494,EXCEK OFFICE SOLUTIONS LIMITED,False,2.0,2022-04-01,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,414647.0,,
Prod223_3873,04714044,2024-04-30,html,,2024-04-30,04714044,FOOK LAM LIMITED,,5.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,13380.0,,
Prod223_3873,04714044,2024-04-30,html,,2024-04-30,04714044,FOOK LAM LIMITED,,5.0,2022-05-01,2023-04-30,,,,,,,,,,,,,,,,,,,,,,,,,10628.0,,
Prod223_3873,04739990,2024-03-09,html,,2024-03-09,04739990,S. Y. U. LTD TRADING AS NEW KING WAH,,4.0,2023-07-01,2024-03-09,,,,,,,,,,,,,,,,,,,,,,,,,3255.0,,
Prod223_3873,04739990,2024-03-09,html,,2024-03-09,04739990,S. Y. U. LTD TRADING AS NEW KING WAH,,4.0,2022-07-01,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,4184.0,,
Prod223_3873,05136340,2024-05-31,html,,2024-05-31,05136340,Eggleton Planning And Design Limited,False,1.0,2023-06-01,2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,16378.0,,
Prod223_3873,05290188,2024-04-30,html,,2024-04-30,05290188,PRIDETIME LTD,False,0.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,12306.0,,
Prod223_3873,05364727,2024-03-31,html,,2024-03-31,05364727,LEE PORTER GOLF SOLUTIONS LTD,False,7.0,2023-04-01,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,17409.0,,
Prod223_3873,05628108,2024-09-30,html,,2024-09-30,05628108,Earl (Kenilworth) Limited,False,0.0,2023-10-01,2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,208339.0,,
Prod223_3873,05628108,2024-09-30,html,,2024-09-30,05628108,Earl (Kenilworth) Limited,False,0.0,2022-10-01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,490979.0,,
Prod223_3873,05641457,2024-12-31,html,,2024-12-31,05641457,JAMES BEST LIMITED,False,2.0,2024-01-01,2024-12-31,,,,,,,,,,,,,19185.0,,,,,10033.0,8320.0,,,,,0.0,832.0,,
Prod223_3873,05882056,2024-07-31,html,,2024-07-31,05882056,Mosaic Island Ltd,False,33.0,2023-08-01,2024-07-31,,,,,,,,,,,,,16249369.0,,13543193.0,2706176.0,1685244.0,,3840784.0,15023.0,,,1021257.0,256826.0,764431.0,,
Prod223_3873,05882056,2024-07-31,html,,2024-07-31,05882056,Mosaic Island Ltd,False,33.0,2022-08-01,2023-07-31,,,,,,,,,,,,,16870940.0,,14336303.0,2534637.0,1628941.0,,3698362.0,16903.0,,,901983.0,188491.0,713492.0,,
Prod223_3873,05889980,2024-07-31,html,,2024-07-31,05889980,P & D PROPERTY DEVELOPERS LIMITED,False,1.0,2023-08-01,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,14657.0,,
Prod223_3873,05997821,2024-04-30,html,,2024-04-30,05997821,INNERDRIVE LIMITED,False,11.0,2023-05-01,2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,13125.0,,
