shareholder_funds,net_assets_liabilities_including_pension_asset_liability,Cluster
601200.0,767613.0,0
601200.0,767613.0,0
547.0,547.0,0
13665.0,13665.0,0
2.0,2.0,0
2.0,2.0,0
1232.0,1232.0,0
1163.0,1163.0,0
15001.0,1383506.0,0
15001.0,1266558.0,0
2.0,2.0,0
2.0,2.0,0
100.0,180875.0,0
100.0,145704.0,0
2.0,2.0,0
2.0,2.0,0
30000.0,1248220.0,0
30000.0,1112925.0,0
2.0,2.0,0
2.0,2.0,0
-98162.0,-98162.0,0
-77416.0,-77416.0,0
73949.0,73949.0,0
79054.0,79054.0,0
134532.0,134532.0,0
165190.0,165190.0,0
3093535.0,3093535.0,0
2758710.0,2758710.0,0
4585.0,4585.0,0
4000.0,4000.0,0
1000.0,24703.0,0
1000.0,38437.0,0
2.0,1174760.0,0
2.0,1008394.0,0
100.0,123462.0,0
100.0,154448.0,0
4.0,4861.0,0
4.0,4577.0,0
100.0,2233450.0,0
100.0,2103599.0,0
123832.0,123832.0,0
118783.0,118783.0,0
200.0,138620.0,0
200.0,299147.0,0
3382.0,3382.0,0
4228.0,4228.0,0
36785.0,36785.0,0
36521.0,36521.0,0
12490.0,12490.0,0
29460.0,29460.0,0
16464.0,16464.0,0
14696.0,14696.0,0
5857.0,5857.0,0
5838.0,5838.0,0
9347.0,9347.0,0
6613.0,6613.0,0
32.0,32.0,0
32.0,32.0,0
101.0,101.0,0
16461.0,16461.0,0
100.0,831860.0,0
100.0,831574.0,0
85.0,7201128.0,0
85.0,6299100.0,0
100.0,-61427.0,0
100.0,-46821.0,0
3.0,3.0,0
3.0,3.0,0
195690.0,195690.0,0
217292.0,217292.0,0
9.0,-197.0,0
9.0,-197.0,0
5000.0,7656738.0,0
7559144.0,7564144.0,0
2.0,2.0,0
2.0,2.0,0
100.0,221987.0,0
100.0,216235.0,0
100.0,5161.0,0
100.0,4643.0,0
5182.0,5182.0,0
1466.0,1466.0,0
15000.0,-18375.0,0
15000.0,-7360.0,0
100.0,1139056.0,0
100.0,1054222.0,0
15150.0,28755127.0,0
15150.0,27820908.0,0
100.0,516979.0,0
100.0,464378.0,0
100.0,155608.0,0
100.0,147895.0,0
0.0,0.0,0
0.0,0.0,0
8554.0,8554.0,0
-372.0,-372.0,0
100.0,51292.0,0
100.0,50639.0,0
59136.0,59136.0,0
38593.0,38593.0,0
105.0,97430.0,0
105.0,211843.0,0
187192.0,187192.0,0
61202.0,61202.0,0
11.0,11.0,0
11.0,11.0,0
51192.0,51192.0,0
64214.0,64214.0,0
3890.0,1276180.0,0
3890.0,989837.0,0
13722.0,13722.0,0
13522.0,13522.0,0
-79683.0,-79683.0,0
-79683.0,-79683.0,0
73774.0,73774.0,0
103278.0,103278.0,0
675805.0,675805.0,0
676592.0,676592.0,0
37.0,324722.0,0
37.0,321552.0,0
1201.0,1201.0,0
1201.0,1201.0,0
265277.0,265277.0,0
236694.0,236694.0,0
100.0,226524.0,0
100.0,394728.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
60645.0,60645.0,0
62526.0,62526.0,0
232559.0,232559.0,0
233066.0,233066.0,0
102.0,355979.0,0
100.0,255159.0,0
100.0,212046.0,0
100.0,296687.0,0
2666.0,156917.0,0
2666.0,158462.0,0
100.0,1656086.0,0
100.0,1628970.0,0
100.0,100.0,0
100.0,100.0,0
2.0,2.0,0
2.0,2.0,0
13614.0,13614.0,0
13967.0,13967.0,0
325446.0,325446.0,0
325446.0,325446.0,0
6000.0,1089388.0,0
6000.0,1096045.0,0
1000.0,3757983.0,0
1000.0,3543971.0,0
100.0,100.0,0
100.0,100.0,0
21488.0,21488.0,0
19130.0,19130.0,0
80.0,80.0,0
80.0,80.0,0
170.0,1583267.0,0
170.0,975591.0,0
20566.0,114659.0,0
20566.0,82480.0,0
24644.0,24644.0,0
43273.0,43273.0,0
2.0,2.0,0
1646.0,1646.0,0
96.0,96.0,0
96.0,96.0,0
68769.0,68769.0,0
68769.0,68769.0,0
3000.0,-10157.0,0
3000.0,-10157.0,0
7182.0,7182.0,0
9125.0,9125.0,0
2.0,76666.0,0
2.0,78006.0,0
1.0,1.0,0
1.0,1.0,0
2000.0,2000.0,0
2000.0,2000.0,0
4.0,4.0,0
4.0,4.0,0
2.0,2.0,0
2.0,2.0,0
1000.0,1000.0,0
1000.0,1000.0,0
24.0,24.0,0
24.0,24.0,0
200.0,807763.0,0
200.0,769451.0,0
228587.0,228587.0,0
261333.0,261333.0,0
2.0,158267.0,0
2.0,127340.0,0
4.0,4.0,0
4.0,4.0,0
188651.0,188651.0,0
215167.0,215167.0,0
100.0,87417.0,0
100.0,81343.0,0
2.0,76141.0,0
2.0,87073.0,0
4.0,132759.0,0
4.0,134040.0,0
100.0,100.0,0
100.0,100.0,0
556679.0,556679.0,0
552033.0,552033.0,0
51527.0,51527.0,0
63978.0,63978.0,0
100000.0,383782.0,0
100000.0,381433.0,0
2.0,5340.0,0
2.0,13120.0,0
1650000.0,9390100.0,0
1650000.0,9407035.0,0
100.0,100.0,0
100.0,100.0,0
54902.0,54902.0,0
53395.0,53395.0,0
3312.0,3312.0,0
6959.0,6959.0,0
1000.0,1000.0,0
1000.0,1000.0,0
100.0,115898.0,0
100.0,162783.0,0
2.0,971791.0,0
2.0,881654.0,0
1022.0,1022.0,0
6080.0,6080.0,0
619.0,619.0,0
332.0,332.0,0
36759.0,36759.0,0
42084.0,42084.0,0
2.0,139160.0,0
2.0,198250.0,0
21.0,21.0,0
18.0,18.0,0
147410.0,147410.0,0
173913.0,173913.0,0
100.0,4234536.0,0
100.0,3047400.0,0
2.0,71662.0,0
2.0,56533.0,0
3.0,3.0,0
3.0,3.0,0
100.0,222715.0,0
100.0,336258.0,0
57775.0,57775.0,0
66210.0,66210.0,0
100.0,21349.0,0
100.0,11771.0,0
71817.0,71817.0,0
24935.0,24935.0,0
14075.0,14075.0,0
11774.0,11774.0,0
4685.0,4685.0,0
4685.0,4685.0,0
2.0,2.0,0
2.0,2.0,0
2.0,218951.0,0
2.0,207293.0,0
240.0,86770.0,0
240.0,67299.0,0
9300.0,262558.0,0
9300.0,260673.0,0
13.0,13.0,0
13.0,13.0,0
2.0,2.0,0
2.0,2.0,0
65876.0,65876.0,0
84132.0,84132.0,0
1000.0,59850.0,0
1000.0,13335.0,0
1491361.0,1491361.0,0
1617005.0,1617005.0,0
3.0,551645.0,0
3.0,328563.0,0
6.0,7955.0,0
6.0,6712.0,0
56239.0,56239.0,0
41121.0,41121.0,0
462534.0,462534.0,0
516917.0,516917.0,0
-272080.0,-272080.0,0
-234417.0,-234417.0,0
4.0,72894.0,0
4.0,50677.0,0
-13984.0,-13984.0,0
1925.0,1925.0,0
2.0,-4.0,0
2.0,-931.0,0
834.0,834.0,0
2293.0,2293.0,0
320.0,563099.0,0
320.0,418247.0,0
2.0,40917.0,0
2.0,33467.0,0
1350002.0,9167353.0,0
1350002.0,9259152.0,0
77903.0,77903.0,0
79189.0,79189.0,0
100.0,666527.0,0
